date,startup,vertical,city,investors,round,amount,year,month
2016-07-14,ShoppinPal,Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0,2016,7
2016-07-14,TransTutors / AskIITians,Consumer internet,Delhi,500 Startups,Private Equity,,2016,7
2016-07-15,WorkApps,Technology,Pune,SRI Capital,Seed Funding,1000000.0,2016,7
2016-07-15,BankerBay,Consumer internet,Bangalore,undisclosed investors,Private Equity,2000000.0,2016,7
2016-07-15,BaggOut,E-Commerce,Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,,2016,7
2016-07-15,TripShelf,E-Commerce,Delhi,GEMS group,Seed Funding,250000.0,2016,7
2016-07-15,SatvaCart,E-Commerce,Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,,2016,7
2016-07-15,Ridlr,Consumer internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0,2016,7
2016-07-18,Yellowdig,Consumer internet,Pune,SRI Capital,Seed Funding,650000.0,2016,7
2016-07-18,Zuppler,Consumer internet,Delhi,SRI Capital,Seed Funding,650000.0,2016,7
2016-07-18,BlueStone,E-Commerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000.0,2016,7
2016-07-18,underDOGS,Technology,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,,2016,7
2016-07-18,ImageProVision,Technology,Pune,Satish Jamdar,Seed Funding,,2016,7
2016-07-19,Sagacito,Technology,Delhi,Star India Pvt. Ltd,Private Equity,10000000.0,2016,7
2016-07-19,Deal4Loans / Wishfin,Consumer internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0,2016,7
2016-07-19,NiYO Solutions,Technology,Bangalore,Prime Venture Partners,Private Equity,1000000.0,2016,7
2016-07-19,AppLop,Consumer internet,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000.0,2016,7
2016-07-20,Tax2Win,Consumer internet,Jaipur,Undisclosed Investors,Private Equity,1000000.0,2016,7
2016-07-20,Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000.0,2016,7
2016-07-20,iServe Financial,Consumer internet,Pune,Nilesh Shah,Seed Funding,,2016,7
2016-07-21,MyTaxiIndia,Consumer internet,Delhi,Nihon Kotsu Co,Private Equity,1000000.0,2016,7
2016-07-21,AbeRuk,E-Commerce,Bangalore,Swastika Company Pvt Ltd,Seed Funding,,2016,7
2016-07-21,Wiwigo,Consumer internet,Bangalore,Indian Angel Network,Seed Funding,595000.0,2016,7
2016-07-21,Drums Food,Food & Beverage,Mumbai,"Verlinvest, DSG Consumer Partners",,,2016,7
2016-06-01,Chikoop,Consumer internet,Indore,Undisclosed Investors,Seed Funding,,2016,6
2016-06-01,BRIDGEi2I,Technology,Bangalore,Edelweiss Private Equity,Private Equity,,2016,6
2016-06-02,Droom,E-Commerce,Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,,2016,6
2016-06-02,Visit,Consumer internet,Delhi,MapmyIndia,Seed Funding,,2016,6
2016-06-02,Atomberg,Technology,Mumbai,Parampara Capital,Private Equity,1000000.0,2016,6
2016-06-02,Coutloot,E-Commerce,Mumbai,Venture Catalysts,Seed Funding,,2016,6
2016-06-02,Limo,Consumer internet,Mumbai,Rainmaker Ventures,Private Equity,1000000.0,2016,6
2016-06-03,iCliniq,Consumer internet,Bangalore,MadhanKumar Madathupalayam,Seed Funding,,2016,6
2016-06-03,GoGo Truck,Consumer internet,Chennai,Undisclosed Investor,Seed Funding,75000.0,2016,6
2016-06-03,Vyome Biosciences,Healthcare,Delhi,Romulus Capital,Private Equity,2000000.0,2016,6
2016-06-06,SillyMonks,Consumer internet,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0,2016,6
2016-06-07,CueMath,EdTech,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0,2016,6
2016-06-07,KrazyBee,Consumer internet,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0,2016,6
2016-06-07,Intgrea,Technology,Bangalore,Undisclosed Investor,Seed Funding,100000.0,2016,6
2016-06-07,HelpShift,Technology,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0,2016,6
2016-06-07,CreditVidya,Technology,Mumbai,Kalaari Capital,Private Equity,1000000.0,2016,6
2016-06-08,Grey Campus,Consumer internet,Hyderabad,Sarath Sura,Seed Funding,1000000.0,2016,6
2016-06-08,ListUp,E-Commerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0,2016,6
2016-06-08,6Degree,Technology,Mumbai,Indian Angel Network,Seed Funding,200000.0,2016,6
2016-06-08,Shopwati,Consumer internet,Gurgaon,Sanjiv Rai,Seed Funding,,2016,6
2016-06-08,Cookifi,Consumer internet,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,,2016,6
2016-06-08,StoreKing,E-Commerce,Bangalore,Axiata Digital,Private Equity,16000000.0,2016,6
2016-06-08,Wired Hub,Real estate,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,,2016,6
2016-06-08,MySeniorDoctor,Consumer internet,Gurgaon,BlackJag Partners,Seed Funding,200000.0,2016,6
2016-06-09,Teabox,E-Commerce,Siliguri,Cameron Jones,Seed Funding,,2016,6
2016-06-09,ExtraaEdge,Consumer internet,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,,2016,6
2016-06-09,EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.0,2016,6
2016-06-10,Kyazoonga,E-Commerce,Mumbai,Ratan Tata,Seed Funding,,2016,6
2016-06-10,Paytunes,Consumer internet,Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0,2016,6
2016-06-10,Kickstart Jobs,Technology,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,,2016,6
2016-06-10,Freshee,Fmcg,Mumbai,Edelweiss Private Equity,Private Equity,,2016,6
2016-06-10,MadRat Games,Technology,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,,2016,6
2016-06-11,Jazzmyride,E-Commerce,Delhi,TVS Automobile Solutions Ltd,Private Equity,,2016,6
2016-06-11,AutoSense,Technology,Delhi,TVS Automobile Solutions Ltd,Private Equity,,2016,6
2016-06-11,Redsun Telematics,Consumer internet,Chennai,TVS Automobile Solutions Ltd,Private Equity,,2016,6
2016-06-13,KhanaGadi,Consumer internet,Jaipur,50K Ventures,Seed Funding,,2016,6
2016-06-13,Bombay Shirt Company,E-Commerce,Mumbai,undisclosed investor,Private Equity,1000000.0,2016,6
2016-06-13,Matrubharti,Consumer internet,Unknown,Viridian Capital,Seed Funding,30000.0,2016,6
2016-06-14,EdTechReview,Consumer internet,Delhi,EVC Ventures,Seed Funding,,2016,6
2016-06-14,Bonhomia,Food & Beverage,Delhi,Valpro Capital and existing investors,Private Equity,,2016,6
2016-06-14,Gobolt,Logistics,Delhi,MCube8,Seed Funding,,2016,6
2016-06-14,Jivox,Technology,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.0,2016,6
2016-06-14,Sminq,Consumer internet,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.0,2016,6
2016-06-14,CureJoy,Consumer internet,Bangalore,Accel Partners India,Private Equity,4400000.0,2016,6
2016-06-15,Oneway.cab,Consumer internet,Vadodara,Indian Angel Network,Seed Funding,450000.0,2016,6
2016-06-15,GrabOnRent,E-Commerce,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,,2016,6
2016-06-16,Diro Labs,Consumer internet,Delhi,Info Edge (India) Ltd,Private Equity,450000.0,2016,6
2016-06-16,Unnati Helpers,Consumer internet,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.0,2016,6
2016-06-16,Athletto,Consumer internet,Bangalore,Atul Ingle,Seed Funding,,2016,6
2016-06-16,Saavn,Consumer internet,USA,Guy Oseary,Private Equity,,2016,6
2016-06-16,Voonik,E-Commerce,Bangalore,Sequoia Capital,Private Equity,20000000.0,2016,6
2016-06-16,ThinkPhi,Technology,Mumbai,Nimmagadda Prasad,Seed Funding,,2016,6
2016-06-17,Cleartax,Consumer internet,Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,12000000.0,2016,6
2016-06-17,Silvan Innovation Labs,Technology,Bangalore,Infuse Ventures,Private Equity,900000.0,2016,6
2016-06-17,GreytHR,Technology,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,5200000.0,2016,6
2016-06-17,Duffl,E-Commerce,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,,2016,6
2016-06-17,BYG,Consumer internet,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,,2016,6
2016-06-20,Dipper,E-Commerce,Delhi,Undisclosed investor,Seed Funding,,2016,6
2016-06-20,Qonfuse,Consumer internet,Delhi,Hamraj Kumar,Seed Funding,,2016,6
2016-06-20,The Indian IRIS,Consumer internet,Ahmedabad,Timbru Ventures,Seed Funding,,2016,6
2016-06-21,Onspoon,Consumer internet,Mumbai,Swan Angel Network,Seed Funding,150000.0,2016,6
2016-06-21,REstate,Consumer internet,Bangalore,Idein Ventures,Seed Funding,,2016,6
2016-06-21,Cleartrip,Consumer internet,Mumbai,"Concur Technologies, Gund Investment",Private Equity,,2016,6
2016-06-21,ProcMart,Consumer internet,Noida,IndiaMart,Private Equity,,2016,6
2016-06-21,Celerix,Technology,Bangalore,Bitkemy Ventures,Seed Funding,400000.0,2016,6
2016-06-21,NatureNama,Consumer internet,Mumbai,Unicorn Venture,Seed Funding,225000.0,2016,6
2016-06-21,CyclopsMedtech,Technology,Bangalore,CP Bothra,Seed Funding,,2016,6
2016-06-21,Syona Cosmetics,Fmcg,Chennai,The Chennai Angels,Seed Funding,150000.0,2016,6
2016-06-21,PrettySecrets,E-Commerce,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,6000000.0,2016,6
2016-06-22,SpiderG,Consumer internet,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000.0,2016,6
2016-06-23,FarEye,Technology,Delhi,Saif Partners,Private Equity,3500000.0,2016,6
2016-06-23,The Uolo,Consumer internet,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000.0,2016,6
2016-06-23,Staqu,Technology,Gurgaon,Indian Angel Network,Seed Funding,,2016,6
2016-06-23,Padhopadhao,Consumer internet,Delhi,Rise India,Private Equity,,2016,6
2016-06-24,Drivify,Consumer internet,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000.0,2016,6
2016-06-24,PratiLipi,Consumer internet,Bangalore,Nexus Venture Partners,Seed Funding,,2016,6
2016-06-24,ParaBlu,Technology,Bangalore,Kalaari Capital,Seed Funding,500000.0,2016,6
2016-06-24,Schedulers Logistics,Logistics,Mumbai,GVFL,Private Equity,6000000.0,2016,6
2016-06-24,LEAP India,Others,Mumbai,Mayfield Ventures,Private Equity,3000000.0,2016,6
2016-06-24,KabadiExpress,Others,Delhi,Undisclosed investor,Seed Funding,148000.0,2016,6
2016-06-27,YourDost,Consumer internet,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000.0,2016,6
2016-06-27,Gomalon,Consumer internet,Bangalore,Undisclosed investor,Seed Funding,100000.0,2016,6
2016-06-27,Voler Cars,Consumer internet,Delhi,"Kanodia family, Amit Banka",Seed Funding,,2016,6
2016-06-27,Travelyaari,Consumer internet,Bangalore,GVFL Ltd,Private Equity,3000000.0,2016,6
2016-06-28,FabHotels,Consumer internet,Gurgaon,"Accel Partners, RB Investments",Private Equity,8000000.0,2016,6
2016-06-28,Locanix,Technology,Ahmedabad,Undisclosed investors,Seed Funding,300000.0,2016,6
2016-06-28,LendingKart,Consumer internet,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000.0,2016,6
2016-06-28,Hello Tax,Consumer internet,Delhi,Sanjeev Sinha,Seed Funding,295000.0,2016,6
2016-06-28,MySuperBrain,Consumer internet,Hyderabad,Soniks Consulting,Seed Funding,,2016,6
2016-06-28,BlogBeats,Consumer internet,Bangalore,Undisclosed Investor,Seed Funding,,2016,6
2016-06-29,LetReach,E-Commerce,Delhi,vCommission,Private Equity,100000.0,2016,6
2016-06-29,TrendieApp,Technology,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.0,2016,6
2016-06-29,ImpactGuru,Consumer internet,Mumbai,Piyush Jain,Seed Funding,,2016,6
2016-06-29,Velvetcase,E-Commerce,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,1500000.0,2016,6
2016-06-30,Meru Cabs,Consumer internet,Mumbai,Brand Capital,Private Equity,25000000.0,2016,6
2016-06-30,Campus Diaries,Consumer internet,Bangalore,Aarin Capital,Seed Funding,220000.0,2016,6
2016-06-30,Scripbox,Consumer internet,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,,2016,6
2016-06-30,Biryani Blues,Food & Beverage,Gurgaon,Carpediem Capital & Others,Private Equity,368000.0,2016,6
2016-05-01,MotoMojo,Consumer internet,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,,2016,5
2016-05-01,Get My Parking,Technology,Delhi,The Chennai Angels,Seed Funding,376000.0,2016,5
2016-05-01,Prescribez,Consumer internet,Pune,Ankush Mehta,Seed Funding,145000.0,2016,5
2016-05-02,Airwood,Technology,Chennai,StartupXseed Ventures,Seed Funding,,2016,5
2016-05-03,Mobikwik,Consumer internet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000.0,2016,5
2016-05-03,iDreamCareer,Consumer internet,Delhi,Brand Capital,Private Equity,,2016,5
2016-05-03,Zwayam,Consumer internet,Bangalore,Undisclosed investors,Seed Funding,250000.0,2016,5
2016-05-03,BoiBanit,Consumer internet,Vadodara,Undisclosed investors,Seed Funding,,2016,5
2016-05-03,Zuver,Consumer internet,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0,2016,5
2016-05-03,Prepathon,EdTech,Mumbai,Blume Ventures,Private Equity,,2016,5
2016-05-04,EasyRoads,Consumer internet,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0,2016,5
2016-05-04,Lenskart,E-Commerce,Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0,2016,5
2016-05-04,Seclore,Technology,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.0,2016,5
2016-05-04,SolarTown,Technology,Chennai,Grex.in,Seed Funding,200000.0,2016,5
2016-05-04,Comarete,Technology,Pune,Grex.in,Seed Funding,200000.0,2016,5
2016-05-04,MyDentistChoice,E-Commerce,Hyderabad,Undisclosed investors,Seed Funding,150000.0,2016,5
2016-05-04,Active.ai,Technology,International,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,5
2016-05-04,Affordplan,Technology,Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,5
2016-05-04,Indee,Consumer internet,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016,5
2016-05-05,Unbxd,Technology,Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,,2016,5
2016-05-05,WebAlligator,Consumer internet,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.0,2016,5
2016-05-06,EduAce Services,EdTech,Lucknow,MoMagic Technologies,Private Equity,1000000.0,2016,5
2016-05-06,Meesho,E-Commerce,Bangalore,Rajul Garg & Others,Seed Funding,,2016,5
2016-05-07,Zebroads,Logistics,Hyderabad,Undisclosed investors,Seed Funding,75000.0,2016,5
2016-05-09,Locus,Technology,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.0,2016,5
2016-05-09,Toko Innovations,Consumer internet,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0,2016,5
2016-05-09,Rentickle,E-Commerce,Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0,2016,5
2016-05-10,HealthifyMe,Consumer internet,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0,2016,5
2016-05-10,Zarget,Consumer internet,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0,2016,5
2016-05-10,InnoNano Research,Technology,Chennai,NanoHoldings,Private Equity,18000000.0,2016,5
2016-05-10,SchoolWear,E-Commerce,Mumbai,Undisclosed investors,Seed Funding,1500000.0,2016,5
2016-05-10,Swiggy,Consumer internet,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.0,2016,5
2016-05-11,Zenify,Consumer internet,Bangalore,Undisclosed Investors,Private Equity,900000.0,2016,5
2016-05-11,Faircent,Consumer internet,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,,2016,5
2016-05-11,Fractal Analytics,Technology,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0,2016,5
2016-05-12,Unacademy,Consumer internet,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0,2016,5
2016-05-12,Capital Float,Consumer internet,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0,2016,5
2016-05-12,Life Circle,Healthcare,Hyderabad,GROUPE SOS,Private Equity,150000.0,2016,5
2016-05-12,Dream Wallets,Consumer internet,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,,2016,5
2016-05-12,ShabdNagari,Consumer internet,Kanpur,ah! Ventures,Seed Funding,,2016,5
2016-05-12,Galleri5,Consumer internet,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,,2016,5
2016-05-12,Derbii,Logistics,Gurgaon,Anurag Chauhan,Seed Funding,,2016,5
2016-05-13,StayZilla,Consumer internet,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000.0,2016,5
2016-05-13,WoW Express,Logistics,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000.0,2016,5
2016-05-16,Smartivity,E-Commerce,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000.0,2016,5
2016-05-16,BedBathMore,Consumer internet,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,,2016,5
2016-05-17,Murgency,Consumer internet,Mumbai,Rata Tata,Private Equity,,2016,5
2016-05-17,Crownit,Consumer internet,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,,2016,5
2016-05-17,Blinge,E-Commerce,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,,2016,5
2016-05-18,TheSmartQ,Consumer internet,Bangalore,YourNest Angel Fund,Seed Funding,250000.0,2016,5
2016-05-18,PurpleHealth,Consumer internet,Trivandrum,Katabole Technology Venture,Seed Funding,100000.0,2016,5
2016-05-18,Fundamentor,EdTech,Pune,Subramanya SV,Seed Funding,,2016,5
2016-05-18,EduPristine,EdTech,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000.0,2016,5
2016-05-18,BhiveWorkspace,Reality,Bangalore,Blume Ventures,Private Equity,1000000.0,2016,5
2016-05-18,Parentlane,Consumer internet,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,,2016,5
2016-05-19,Appie,Consumer internet,Mumbai,Undisclosed investors,Seed Funding,1000000.0,2016,5
2016-05-19,Niki.ai,Technology,Bangalore,Ratan Tata,Private Equity,,2016,5
2016-05-19,TaxiVaxi,Consumer internet,Delhi,Undisclosed HNIs,Seed Funding,500000.0,2016,5
2016-05-19,Veqta,Consumer internet,Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000.0,2016,5
2016-05-20,i2ifunding,Consumer internet,Noida,Undisclosed Investors,Seed Funding,300000.0,2016,5
2016-05-23,EduRev,Consumer internet,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,,2016,5
2016-05-23,Hoppingo,Consumer internet,Delhi,vCommission,Seed Funding,89000.0,2016,5
2016-05-24,Eatonomist,Consumer internet,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,,2016,5
2016-05-24,Goalwise,Consumer internet,Bangalore,Undisclosed HNIs,Seed Funding,1000000.0,2016,5
2016-05-25,Roast,Consumer internet,Delhi,Indian Angel Network,Seed Funding,,2016,5
2016-05-25,Address Health,Healthcare,Bangalore,Gray Matters Capital,Private Equity,1500000.0,2016,5
2016-05-25,Arcatron Mobility,Technology,Pune,Sudhir Mehta,Seed Funding,100000.0,2016,5
2016-05-25,SheThePeople,Consumer internet,Delhi,Anand Mahindra,Seed Funding,,2016,5
2016-05-26,Cleartax,Consumer internet,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000.0,2016,5
2016-05-26,Consure Medical,Healthcare,Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,,2016,5
2016-05-26,mChamp,Consumer internet,Delhi,MoMagic Technologies,Seed Funding,475000.0,2016,5
2016-05-27,Pianta,Consumer internet,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,,2016,5
2016-05-30,Vahanalytics,Technology,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000.0,2016,5
2016-05-31,Play Your Sport,Consumer internet,Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,,2016,5
2016-05-31,Koovs,E-Commerce,Delhi,HT Media Ltd,Private Equity,4400000.0,2016,5
2016-05-31,CCavenue,Consumer internet,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.0,2016,5
2016-05-31,1mg,E-Commerce,Gurgaon,HBM Healthcare Investments,Private Equity,,2016,5
2016-05-31,Tpot,Food & Beverage,Gurgaon,Ashish Gupta,Seed Funding,,2016,5
2016-05-31,MachaDalo,Consumer internet,Mumbai,Undisclosed Investors,Seed Funding,175000.0,2016,5
2016-04-01,Dil Mil,Consumer internet,SFO,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000.0,2016,4
2016-04-01,PicsDream,Consumer internet,Delhi,Raman Roy,Seed Funding,,2016,4
2016-04-01,Process 9,Consumer internet,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,,2016,4
2016-04-04,Housing,Consumer internet,Mumbai,Vineet Singh,Private Equity,,2016,4
2016-04-04,Roll Mafia,Food & Beverage,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,,2016,4
2016-04-04,Hungama,Consumer internet,Mumbai,Xiaomi Inc,Private Equity,25000000.0,2016,4
2016-04-04,Highway Delite,Consumer internet,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,,2016,4
2016-04-05,Cult Fitness,Healthcare,Bangalore,Mukesh Bansal,Seed Funding,,2016,4
2016-04-05,Haptik,Technology,Mumbai,Times Internet Ltd,Private Equity,,2016,4
2016-04-05,Servify,Consumer internet,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,,2016,4
2016-04-06,Shipsy,Logistics,Gurgaon,DTDC Express Ltd,Private Equity,1000000.0,2016,4
2016-04-06,gear6,Consumer internet,Bangalore,Ninestarter,Seed Funding,500000.0,2016,4
2016-04-06,MyGlamm,Consumer internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000.0,2016,4
2016-04-06,Petoo,Consumer internet,Bangalore,Axilor Ventures,Private Equity,1000000.0,2016,4
2016-04-07,Truly Social,Consumer internet,London,Nazara Technologies Pvt Ltd,Private Equity,,2016,4
2016-04-08,Little Black Book,Consumer internet,Delhi,"IDG, Indian Angel Network",Seed Funding,,2016,4
2016-04-08,Vahan,EdTech,Chennai,Villgro,Seed Funding,,2016,4
2016-04-08,imedilane,Consumer internet,Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.0,2016,4
2016-04-11,Living Local,Consumer internet,Mumbai,Rattan Chadha,Seed Funding,200000.0,2016,4
2016-04-11,Vegfru,E-Commerce,Delhi,Wingify,Seed Funding,,2016,4
2016-04-11,Oyo,Consumer internet,Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000.0,2016,4
2016-04-11,PriceRaja,Consumer internet,Gurgaon,Prashant Puri,Seed Funding,300000.0,2016,4
2016-04-12,MagicX,Consumer internet,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000.0,2016,4
2016-04-12,Happydemic,Consumer internet,Mumbai,Shaan,Seed Funding,,2016,4
2016-04-12,LenDenClub,FinTech,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,,2016,4
2016-04-12,Indi.com,Consumer internet,Unknown,Anil Kapoor,Seed Funding,,2016,4
2016-04-13,Legalraasta,Consumer internet,Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,1000000.0,2016,4
2016-04-13,RainCan,Consumer internet,Pune,Dr. Aniruddha Malpani,Seed Funding,150000.0,2016,4
2016-04-13,Hippily,E-Commerce,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,250000.0,2016,4
2016-04-13,kredX,E-Commerce,Bangalore,"Prime Venture Partners,",Seed Funding,750000.0,2016,4
2016-04-14,Wedwise,Consumer internet,Delhi,StartUp Equity Partners,Seed Funding,,2016,4
2016-04-14,BeaconsTalk,Technology,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,100000.0,2016,4
2016-04-15,Deal 4Loans,Consumer internet,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,,2016,4
2016-04-15,RenewBuy,Consumer internet,Delhi,Mount Nathan Advisors,Seed Funding,1000000.0,2016,4
2016-04-15,Blue Box Media,Consumer internet,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,,2016,4
2016-04-15,Vyomo,Consumer internet,Delhi,Naturals Salon Chain,Private Equity,15000000.0,2016,4
2016-04-15,Organicshop,E-Commerce,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,,2016,4
2016-04-15,MInd Your Fleet,Consumer internet,Noida,Undisclosed Investors,Seed Funding,,2016,4
2016-04-15,NestAway,Consumer internet,Bangalore,Tiger Global,Private Equity,30000000.0,2016,4
